Município,Nascimentos_Residencia_Mae
270010 AGUA BRANCA,260
270020 ANADIA,184
270030 ARAPIRACA,3673
270040 ATALAIA,537
270050 BARRA DE SANTO ANTONIO,289
270060 BARRA DE SAO MIGUEL,149
270070 BATALHA,261
270080 BELEM,63
270090 BELO MONTE,119
270100 BOCA DA MATA,270
270110 BRANQUINHA,145
270120 CACIMBINHAS,146
270130 CAJUEIRO,284
270135 CAMPESTRE,97
270140 CAMPO ALEGRE,492
270150 CAMPO GRANDE,150
270160 CANAPI,249
270170 CAPELA,195
270180 CARNEIROS,155
270190 CHA PRETA,78
270200 COITE DO NOIA,163
270210 COLONIA LEOPOLDINA,242
270220 COQUEIRO SECO,78
270230 CORURIPE,792
270235 CRAIBAS,439
270240 DELMIRO GOUVEIA,708
270250 DOIS RIACHOS,162
270255 ESTRELA DE ALAGOAS,227
270260 FEIRA GRANDE,359
270270 FELIZ DESERTO,53
270280 FLEXEIRAS,142
270290 GIRAU DO PONCIANO,520
270300 IBATEGUARA,224
270310 IGACI,283
270320 IGREJA NOVA,303
270330 INHAPI,262
270340 JACARE DOS HOMENS,85
270350 JACUIPE,52
270360 JAPARATINGA,147
270370 JARAMATAIA,95
270375 JEQUIA DA PRAIA,124
270380 JOAQUIM GOMES,273
270390 JUNDIA,56
270400 JUNQUEIRO,318
270410 LAGOA DA CANOA,316
270420 LIMOEIRO DE ANADIA,375
270430 MACEIO,13027
270440 MAJOR ISIDORO,226
270450 MARAGOGI,544
270460 MARAVILHA,185
270470 MARECHAL DEODORO,899
270480 MARIBONDO,150
270490 MAR VERMELHO,32
270500 MATA GRANDE,290
270510 MATRIZ DE CAMARAGIBE,373
270520 MESSIAS,225
270530 MINADOR DO NEGRAO,83
270540 MONTEIROPOLIS,110
270550 MURICI,402
270560 NOVO LINO,124
270570 OLHO D'AGUA DAS FLORES,321
270580 OLHO D'AGUA DO CASADO,136
270590 OLHO D'AGUA GRANDE,76
270600 OLIVENCA,180
270610 OURO BRANCO,162
270620 PALESTINA,76
270630 PALMEIRA DOS INDIOS,1156
270640 PAO DE ACUCAR,346
270642 PARICONHA,166
270644 PARIPUEIRA,203
270650 PASSO DE CAMARAGIBE,186
270660 PAULO JACINTO,92
270670 PENEDO,803
270680 PIACABUCU,247
270690 PILAR,581
270700 PINDOBA,26
270710 PIRANHAS,388
270720 POCO DAS TRINCHEIRAS,196
270730 PORTO CALVO,364
270740 PORTO DE PEDRAS,139
270750 PORTO REAL DO COLEGIO,254
270760 QUEBRANGULO,163
270770 RIO LARGO,1297
270780 ROTEIRO,105
270790 SANTA LUZIA DO NORTE,117
270800 SANTANA DO IPANEMA,766
270810 SANTANA DO MUNDAU,150
270820 SAO BRAS,95
270830 SAO JOSE DA LAJE,322
270840 SAO JOSE DA TAPERA,537
270850 SAO LUIS DO QUITUNDE,453
270860 SAO MIGUEL DOS CAMPOS,784
270870 SAO MIGUEL DOS MILAGRES,133
270880 SAO SEBASTIAO,489
270890 SATUBA,307
270895 SENADOR RUI PALMEIRA,175
270900 TANQUE D'ARCA,49
270910 TAQUARANA,279
270915 TEOTONIO VILELA,573
270920 TRAIPU,346
270930 UNIAO DOS PALMARES,912
270940 VICOSA,328
Total,45742
